ticker,nom,type,secteur,quantite,date_achat,pmu,cours_manuel
CW8.PA,ETF Monde (CW8),ETF,Monde,100,2025-01-15,,
EWLD.PA,ETF Monde (EWLD),ETF,Monde,350,2025-01-15,,
DCAM.PA,ETF PEA Monde (DCAM),ETF,Monde,2500,2025-03-03,,
PSPS.PA,ETF PEA S&P 500 (PSPS),ETF,USA,2300,2025-03-03,,
PAEEM.PA,ETF Émergents (PAEEM),ETF,Émergents,800,2025-01-15,,
FR0010036962.PA,Atout Vert Horizon,OPCVM,Diversifié,2261.52,2004-06-30,14.61,26.17
AI.PA,Air Liquide,Action,Industrie,80,2025-03-03,,
CA.PA,Carrefour,Action,Distribution,900,2025-03-03,,
MC.PA,LVMH,Action,Luxe,20,2025-06-02,,
TTE.PA,TotalEnergies,Action,Énergie,200,2025-09-01,,
